STABBR,CITY,INSTNM,SATMT25,SATVR25,ADM_RATE,SAT_AVG,GRAD_DEBT_MDN,PCIP27,COSTT4_A
AZ,Avondale,Universal Technical Institute of Arizona Inc,NULL,NULL,NULL,NULL,17365,0,NULL
AZ,Tempe,Western International University,NULL,NULL,NULL,NULL,26255.5,0,17736
AZ,Phoenix,Empire Beauty School-NW Phoenix,NULL,NULL,NULL,NULL,11709,0,NULL
AZ,Prescott,Yavapai College,NULL,NULL,NULL,NULL,9550,0,11141
AR,Little Rock,University of Arkansas at Little Rock,470,420,0.8983,1029,19750,0.0104,21392
AR,Little Rock,University of Arkansas for Medical Sciences,NULL,NULL,NULL,NULL,14000,0,NULL
AR,Little Rock,Arkansas Baptist College,NULL,NULL,NULL,NULL,29750,0,21857
AR,Little Rock,Arkansas Beauty School-Little Rock,NULL,NULL,NULL,NULL,6333,0,NULL
AR,Russellville,Arkansas Beauty College,NULL,NULL,NULL,NULL,6422,0,NULL
AR,Batesville,Lyon College,490,455,0.7417,1099,24720,0.0804,35454
AR,North Little Rock,Arkansas College of Barbering and Hair Design,NULL,NULL,NULL,NULL,16355,0,NULL
AR,Fort Smith,Arthur's Beauty College Inc-Fort Smith,NULL,NULL,NULL,NULL,12102.5,0,NULL
AR,Fayetteville,University of Arkansas,510,500,0.632,1170,21500,0.0061,21817
AR,Pine Bluff,University of Arkansas at Pine Bluff,415,423,0.4193,894,26196.5,0.0024,16319
AR,Beebe,Arkansas State University-Beebe,NULL,NULL,NULL,NULL,5500,0,12633
AR,Jonesboro,Arkansas State University-Main Campus,500,433,0.704,1090,19500,0.0058,20872
AR,Russellville,Arkansas Tech University,NULL,NULL,0.6391,NULL,18000,0.0073,17731
AR,Monticello,University of Arkansas at Monticello,NULL,NULL,NULL,NULL,14000,0.0086,16881
AR,Jacksonville,Arthur's Beauty College Inc-Jacksonville,NULL,NULL,NULL,NULL,13417,0,NULL
AR,Little Rock,Baptist Health College-Little Rock,NULL,NULL,0.7826,970,11000,0,22630
AR,Pocahontas,Black River Technical College,NULL,NULL,NULL,NULL,7950,0,12104
AR,Conway,University of Central Arkansas,460,410,0.8978,1082,20900.5,0.0132,20052
AR,Conway,Central Baptist College,410,405,0.6195,1018,28250,0,23491
AR,De Queen,Cossatot Community College of the University of Arkansas,NULL,NULL,NULL,NULL,PrivacySuppressed,0,10994
AR,Paragould,Crowley's Ridge College,NULL,NULL,NULL,NULL,21258,0,19791
AR,Forrest City,Crowley's Ridge Technical Institute,NULL,NULL,NULL,NULL,PrivacySuppressed,0,8611
AR,Forrest City,East Arkansas Community College,NULL,NULL,NULL,NULL,3499,0,10414
AR,Little Rock,Eastern College of Health Vocations-Little Rock,NULL,NULL,NULL,NULL,4179.5,0,NULL
AR,North Little Rock,Imagine-Paul Mitchell Partner School,NULL,NULL,NULL,NULL,12965,0,NULL
AR,Hot Springs,National Park College,NULL,NULL,NULL,NULL,10267,0,12268
AR,Batesville,University of Arkansas Community College-Batesville,NULL,NULL,NULL,NULL,9188,0,10819
AR,Searcy,Harding University,480,500,0.7018,1135,27000,0.0079,27627
AR,Arkadelphia,Henderson State University,580,438,0.6611,1030,20050,0.0098,20112
AR,Conway,Hendrix College,550,550,0.771,1287,27000,0.0149,56050
